data;total_multas;total_acidentes
2007-11-15;;385
2007-11-16;;325
2007-11-17;;352
2007-11-18;;456
2007-11-19;;338
2007-11-20;;304
2007-11-21;;263
2007-11-22;;293
2007-11-23;;411
2007-11-24;;385
2007-11-25;;392
2007-11-26;;361
2007-11-27;;358
2007-11-28;;279
2007-11-29;;339
2007-11-30;;412
2007-12-01;;431
2007-12-02;;394
2007-12-03;;330
2007-12-04;;370
2007-12-05;;414
2007-12-06;;400
2007-12-07;;516
2007-12-08;;510
2007-12-09;;458
2007-12-10;;383
2007-12-11;;370
2007-12-12;;422
2007-12-13;;427
2007-12-14;;528
2007-12-15;;526
2007-12-16;;441
2007-12-17;;361
2007-12-18;;378
2007-12-19;;387
2007-12-20;;481
2007-12-21;;673
2007-12-22;;709
2007-12-23;;504
2007-12-24;;336
2007-12-25;;384
2007-12-26;;399
2007-12-27;;370
2007-12-28;;458
2007-12-29;;463
2007-12-30;;335
2007-12-31;;207
2008-01-01;;390
2008-01-02;;421
2008-01-03;;350
2008-01-04;;359
2008-01-05;;349
2008-01-06;;445
2008-01-07;;354
2008-01-08;;291
2008-01-09;;336
2008-01-10;;335
2008-01-11;;468
2008-01-12;;481
2008-01-13;;388
2008-01-14;;386
2008-01-15;;338
2008-01-16;;314
2008-01-17;;352
2008-01-18;;433
2008-01-19;;480
2008-01-20;;458
2008-01-21;;417
2008-01-22;;321
2008-01-23;;323
2008-01-24;;333
2008-01-25;;444
2008-01-26;;360
2008-01-27;;390
2008-01-28;;399
2008-01-29;;345
2008-01-30;;398
2008-01-31;;417
2008-02-01;;516
2008-02-02;;583
2008-02-03;;360
2008-02-04;;297
2008-02-05;;295
2008-02-06;;433
2008-02-07;;336
2008-02-08;;347
2008-02-09;;284
2008-02-10;;388
2008-02-11;;324
2008-02-12;;277
2008-02-13;;287
2008-02-14;;318
2008-02-15;;405
2008-02-16;;367
2008-02-17;;396
2008-02-18;;329
2008-02-19;;272
2008-02-20;;314
2008-02-21;;335
2008-02-22;;374
2008-02-23;;366
2008-02-24;;396
2008-02-25;;365
2008-02-26;;316
2008-02-27;;334
2008-02-28;;292
2008-02-29;;465
2008-03-01;;496
2008-03-02;;363
2008-03-03;;320
2008-03-04;;267
2008-03-05;;279
2008-03-06;;334
2008-03-07;;406
2008-03-08;;422
2008-03-09;;427
2008-03-10;;332
2008-03-11;;327
2008-03-12;;372
2008-03-13;;298
2008-03-14;;482
2008-03-15;;466
2008-03-16;;347
2008-03-17;;379
2008-03-18;;332
2008-03-19;;423
2008-03-20;;536
2008-03-21;;326
2008-03-22;;271
2008-03-23;;598
2008-03-24;;394
2008-03-25;;290
2008-03-26;;291
2008-03-27;;354
2008-03-28;;381
2008-03-29;;374
2008-03-30;;356
2008-03-31;;311
2008-04-01;;318
2008-04-02;;350
2008-04-03;;348
2008-04-04;;491
2008-04-05;;486
2008-04-06;;451
2008-04-07;;369
2008-04-08;;339
2008-04-09;;336
2008-04-10;;343
2008-04-11;;439
2008-04-12;;458
2008-04-13;;417
2008-04-14;;396
2008-04-15;;321
2008-04-16;;374
2008-04-17;;366
2008-04-18;;496
2008-04-19;;547
2008-04-20;;419
2008-04-21;;434
2008-04-22;;386
2008-04-23;;330
2008-04-24;;348
2008-04-25;;384
2008-04-26;;405
2008-04-27;;328
2008-04-28;;358
2008-04-29;;375
2008-04-30;;451
2008-05-01;;386
2008-05-02;;457
2008-05-03;;312
2008-05-04;;394
2008-05-05;;332
2008-05-06;;319
2008-05-07;;340
2008-05-08;;377
2008-05-09;;452
2008-05-10;;450
2008-05-11;;456
2008-05-12;;373
2008-05-13;;349
2008-05-14;;366
2008-05-15;;349
2008-05-16;;399
2008-05-17;;422
2008-05-18;;347
2008-05-19;;348
2008-05-20;;346
2008-05-21;;463
2008-05-22;;433
2008-05-23;;338
2008-05-24;;333
2008-05-25;;377
2008-05-26;;333
2008-05-27;;299
2008-05-28;;341
2008-05-29;;364
2008-05-30;;467
2008-05-31;;391
2008-06-01;;410
2008-06-02;;282
2008-06-03;;349
2008-06-04;;323
2008-06-05;;326
2008-06-06;;410
2008-06-07;;401
2008-06-08;;391
2008-06-09;;315
2008-06-10;;332
2008-06-11;;301
2008-06-12;;376
2008-06-13;;414
2008-06-14;;406
2008-06-15;;433
2008-06-16;;352
2008-06-17;;303
2008-06-18;;329
2008-06-19;;327
2008-06-20;;445
2008-06-21;;480
2008-06-22;;375
2008-06-23;;374
2008-06-24;;327
2008-06-25;;314
2008-06-26;;372
2008-06-27;;423
2008-06-28;;370
2008-06-29;;292
2008-06-30;;301
2008-07-01;;316
2008-07-02;;294
2008-07-03;;352
2008-07-04;;450
2008-07-05;;391
2008-07-06;;328
2008-07-07;;331
2008-07-08;;287
2008-07-09;;311
2008-07-10;;334
2008-07-11;;432
2008-07-12;;407
2008-07-13;;352
2008-07-14;;356
2008-07-15;;315
2008-07-16;;354
2008-07-17;;335
2008-07-18;;436
2008-07-19;;360
2008-07-20;;366
2008-07-21;;343
2008-07-22;;322
2008-07-23;;368
2008-07-24;;344
2008-07-25;;436
2008-07-26;;380
2008-07-27;;385
2008-07-28;;356
2008-07-29;;335
2008-07-30;;289
2008-07-31;;330
2008-08-01;;404
2008-08-02;;410
2008-08-03;;396
2008-08-04;;314
2008-08-05;;363
2008-08-06;;334
2008-08-07;;414
2008-08-08;;462
2008-08-09;;401
2008-08-10;;400
2008-08-11;;353
2008-08-12;;371
2008-08-13;;334
2008-08-14;;348
2008-08-15;;450
2008-08-16;;393
2008-08-17;;350
2008-08-18;;348
2008-08-19;;287
2008-08-20;;321
2008-08-21;;321
2008-08-22;;424
2008-08-23;;424
2008-08-24;;331
2008-08-25;;335
2008-08-26;;314
2008-08-27;;336
2008-08-28;;332
2008-08-29;;404
2008-08-30;;450
2008-08-31;;339
2008-09-01;;321
2008-09-02;;336
2008-09-03;;338
2008-09-04;;344
2008-09-05;;488
2008-09-06;;469
2008-09-07;;395
2008-09-08;;435
2008-09-09;;383
2008-09-10;;330
2008-09-11;;399
2008-09-12;;465
2008-09-13;;410
2008-09-14;;421
2008-09-15;;385
2008-09-16;;405
2008-09-17;;347
2008-09-18;;377
2008-09-19;;484
2008-09-20;;490
2008-09-21;;461
2008-09-22;;332
2008-09-23;;311
2008-09-24;;344
2008-09-25;;394
2008-09-26;;580
2008-09-27;;448
2008-09-28;;370
2008-09-29;;331
2008-09-30;;338
2008-10-01;;378
2008-10-02;;429
2008-10-03;;458
2008-10-04;;533
2008-10-05;;382
2008-10-06;;392
2008-10-07;;361
2008-10-08;;383
2008-10-09;;387
2008-10-10;;424
2008-10-11;;487
2008-10-12;;409
2008-10-13;;349
2008-10-14;;350
2008-10-15;;370
2008-10-16;;369
2008-10-17;;496
2008-10-18;;489
2008-10-19;;446
2008-10-20;;385
2008-10-21;;313
2008-10-22;;316
2008-10-23;;343
2008-10-24;;397
2008-10-25;;411
2008-10-26;;360
2008-10-27;;338
2008-10-28;;362
2008-10-29;;362
2008-10-30;;355
2008-10-31;;493
2008-11-01;;389
2008-11-02;;421
2008-11-03;;374
2008-11-04;;300
2008-11-05;;336
2008-11-06;;380
2008-11-07;;507
2008-11-08;;466
2008-11-09;;401
2008-11-10;;445
2008-11-11;;362
2008-11-12;;370
2008-11-13;;416
2008-11-14;;560
2008-11-15;;414
2008-11-16;;441
2008-11-17;;387
2008-11-18;;342
2008-11-19;;345
2008-11-20;;367
